SMILES,H,Cl,C,N,O,Br,B,I,S,F,s,c,o,n
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,0,1,1,0,0,0,0,0,0,0,0,21,0,2
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,4,2,23,0,5,0,0,0,0,0,0,4,1,0
CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,2,0,3,1,1,0,0,0,0,1,0,19,0,6
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,0,0,8,2,2,1,0,0,0,1,0,14,0,2
COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,0,2,11,4,3,0,0,0,0,0,0,15,0,1
Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,0,1,12,3,3,0,0,0,1,0,0,16,0,2
Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,2,0,4,1,3,0,0,0,1,0,0,4,0,2
C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,1,2,7,2,1,0,0,0,0,1,0,14,0,3
COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,0,0,7,2,5,0,0,0,0,1,0,21,0,1
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,0,0,5,2,3,0,0,0,0,3,0,6,0,0
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,0,1,9,4,2,0,0,0,0,0,1,13,0,3
Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,0,1,4,2,3,1,0,0,0,1,0,13,0,2
CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,0,0,7,2,4,0,0,1,0,1,0,19,0,3
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,1,1,20,5,7,0,0,0,1,0,0,25,0,2
COc1ccc(C(=O)c2ccccc2)c(O)c1,0,0,2,0,3,0,0,0,0,0,0,12,0,0
O=C(CCCCCCC(=O)Nc1ccccc1)NO,0,0,8,2,3,0,0,0,0,0,0,6,0,0
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0,0,8,1,4,0,0,0,0,0,1,20,0,0
CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,1,0,12,2,2,0,0,0,0,0,0,13,0,6
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,0,1,5,2,3,0,0,0,1,1,0,24,1,2
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,0,1,10,3,3,0,0,0,0,1,0,14,0,2
CCN(CC)C(=S)SSC(=S)N(CC)CC,0,0,10,2,0,0,0,0,4,0,0,0,0,0
CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12,1,0,12,2,4,0,0,0,1,0,0,11,0,4
